min_score,max_rent,rent,apt_score
2,632,120,2
5,633,0,
5,634,0,
2,634,115,2
4,634,0,
1,635,115,2
5,635,0,
2,635,120,2
1,636,126,2
5,636,0,
4,636,0,
2,637,105,2
3,637,0,
3,638,0,
4,639,0,
5,639,0,
5,639,0,
4,639,0,
4,640,0,
3,640,0,
4,640,0,
5,640,0,
4,641,0,
1,641,110,2
1,641,120,2
3,641,0,
1,641,115,2
2,642,126,2
4,642,0,
1,642,115,2
1,643,115,2
3,643,0,
3,643,0,
4,643,0,
3,644,0,
4,644,0,
1,645,126,2
5,645,0,
5,645,0,
2,645,138,2
3,645,0,
5,645,0,
4,646,0,
3,646,0,
5,646,0,
5,646,0,
4,646,0,
2,647,126,2
3,647,0,
5,647,0,
4,647,0,
1,647,120,2
3,648,0,
1,648,115,2
3,648,0,
3,648,0,
1,648,110,2
3,649,0,
1,649,126,2
4,649,0,
3,649,0,
1,650,120,2
3,650,0,
5,651,0,
3,651,0,
4,651,0,
2,651,132,2
4,651,0,
1,651,110,2
4,651,0,
3,652,0,
1,652,132,2
3,652,0,
5,652,0,
2,652,120,2
3,652,0,
5,652,0,
2,652,105,2
4,653,0,
1,653,126,2
3,653,0,
2,653,110,2
2,654,120,2
2,654,105,2
3,654,0,
5,654,0,
1,654,138,2
5,654,0,
4,655,0,
2,655,105,2
3,655,0,
3,656,0,
4,656,0,
3,656,0,
5,657,0,
4,657,0,
2,657,110,2
5,657,0,
4,658,0,
2,658,110,2
3,659,0,
2,659,115,2
3,659,0,
4,660,0,
4,660,0,
1,660,120,2
2,660,138,2
4,660,0,
2,660,132,2
1,660,120,2
1,660,126,2
5,660,0,
5,661,0,
2,661,110,2
4,661,0,
1,661,120,2
3,661,0,
1,661,110,2
5,662,0,
4,662,0,
1,662,110,2
1,662,120,2
2,662,110,2
4,662,0,
4,662,0,
1,663,105,2
2,663,132,2
1,663,105,1
1,664,138,2
1,664,115,2
1,664,105,2
1,664,138,2
4,664,0,
5,664,0,
4,664,0,
2,664,115,2
3,664,0,
5,664,0,
1,664,105,2
3,664,0,
3,665,0,
1,665,132,2
2,665,110,2
2,665,105,2
4,666,0,
4,666,0,
2,667,132,2
4,667,0,
1,667,110,2
5,667,0,
1,667,115,2
2,667,151,2
5,667,0,
5,667,0,
5,668,0,
5,668,0,
2,668,126,2
3,668,0,
5,668,0,
4,669,0,
1,669,105,1
5,669,0,
1,669,120,2
4,670,0,
3,670,0,
2,670,105,2
4,671,0,
5,671,0,
4,672,0,
5,672,0,
5,672,0,
3,672,0,
1,672,105,2
3,672,0,
5,672,0,
1,672,105,2
1,673,105,2
3,673,0,
3,673,0,
2,673,110,2
5,673,0,
5,673,0,
1,673,132,2
5,673,0,
3,674,0,
